key_resp.keys,key_resp.corr,tilt,,hit,miss,fa,cr,,,,
down,0,0,,,1,,,,,,
down,0,0,,,1,,,,,,
down,0,0,,,1,,,,,,
up,0,3,,,,1,,,,,
down,1,-5,,,,,1,,,Respond YES,Respond NO
down,1,2,,,,,1,,Signal Present,29,24
down,0,0,,,1,,,,Signal Absent,6,41
up,1,0,,1,,,,,,,
down,0,0,,,1,,,,,,
up,0,1,,,,1,,,,,
down,1,3,,,,,1,,,,
down,1,-4,,,,,1,,Prop hit,0.547169811,
down,1,-3,,,,,1,,Prop fa,0.127659574,
down,0,0,,,1,,,,,,
up,0,2,,,,1,,,,,
up,1,0,,1,,,,,d-prime,1.256038388,
down,1,-4,,,,,1,,c,0.509505162,Indicates biased to say no
up,1,0,,1,,,,,,,
up,0,1,,,,1,,,,,
down,1,2,,,,,1,,,,
down,1,3,,,,,1,,,,
down,1,-3,,,,,1,,,,
down,0,0,,,1,,,,,,
down,0,0,,,1,,,,,,
up,1,0,,1,,,,,,,
down,1,1,,,,,1,,,,
down,1,3,,,,,1,,,,
down,0,0,,,1,,,,,,
down,0,0,,,1,,,,,,
up,1,0,,1,,,,,,,
up,1,0,,1,,,,,,,
down,1,3,,,,,1,,,,
up,1,0,,1,,,,,,,
up,1,0,,1,,,,,,,
down,1,-2,,,,,1,,,,
down,0,0,,,1,,,,,,
down,1,4,,,,,1,,,,
down,1,3,,,,,1,,,,
down,0,0,,,1,,,,,,
down,0,0,,,1,,,,,,
down,1,2,,,,,1,,,,
down,0,0,,,1,,,,,,
up,1,0,,1,,,,,,,
down,1,3,,,,,1,,,,
down,0,0,,,1,,,,,,
down,0,0,,,1,,,,,,
down,1,4,,,,,1,,,,
down,1,-2,,,,,1,,,,
up,1,0,,1,,,,,,,
up,1,0,,1,,,,,,,
down,1,3,,,,,1,,,,
down,1,4,,,,,1,,,,
down,1,-4,,,,,1,,,,
down,1,-3,,,,,1,,,,
up,1,0,,1,,,,,,,
up,1,0,,1,,,,,,,
down,0,0,,,1,,,,,,
down,0,0,,,1,,,,,,
up,1,0,,1,,,,,,,
down,0,0,,,1,,,,,,
down,1,-4,,,,,1,,,,
down,1,-2,,,,,1,,,,
up,1,0,,1,,,,,,,
up,1,0,,1,,,,,,,
up,1,0,,1,,,,,,,
up,1,0,,1,,,,,,,
up,1,0,,1,,,,,,,
up,0,1,,,,1,,,,,
up,1,0,,1,,,,,,,
down,0,0,,,1,,,,,,
down,1,-4,,,,,1,,,,
down,1,-4,,,,,1,,,,
down,1,-5,,,,,1,,,,
down,1,4,,,,,1,,,,
down,1,4,,,,,1,,,,
down,1,-3,,,,,1,,,,
down,1,4,,,,,1,,,,
down,0,0,,,1,,,,,,
down,0,0,,,1,,,,,,
down,1,2,,,,,1,,,,
down,1,-4,,,,,1,,,,
down,1,3,,,,,1,,,,
up,0,1,,,,1,,,,,
up,1,0,,1,,,,,,,
down,1,-4,,,,,1,,,,
down,1,4,,,,,1,,,,
down,1,2,,,,,1,,,,
up,1,0,,1,,,,,,,
up,1,0,,1,,,,,,,
down,1,2,,,,,1,,,,
up,1,0,,1,,,,,,,
down,1,-2,,,,,1,,,,
up,1,0,,1,,,,,,,
up,1,0,,1,,,,,,,
up,1,0,,1,,,,,,,
up,1,0,,1,,,,,,,
up,1,0,,1,,,,,,,
down,1,4,,,,,1,,,,
down,0,0,,,1,,,,,,
down,0,0,,,1,,,,,,
,,,,29,24,6,41,,,,